hora_sinistro,tipo_via,latitude,longitude,tp_veiculo_bicicleta,tp_veiculo_caminhao,tp_veiculo_motocicleta,tp_veiculo_nao_disponivel,tp_veiculo_onibus,tp_veiculo_outros,tp_veiculo_automovel,Chuva,Sinistro,mes,dia_semana
15,0,-22.33618977375832,-49.06836284974921,0,0,0,0,0,0,0,0,0,7,0
8,0,-22.32821565463483,-49.04802950391387,0,0,0,0,0,0,0,1,0,8,5
17,0,-22.336157,-49.07662,0,0,0,0,0,0,0,0,1,7,3
0,0,-22.3258962,-49.07970414,0,0,1,0,0,0,0,0,1,7,5
23,1,-22.30660715,-49.05933067,0,0,1,0,0,0,0,0,1,12,4
11,0,-22.32348156167772,-49.05814094382623,0,0,0,0,0,0,0,0,0,8,2
8,0,-22.34325439,-49.07711639,0,0,0,0,0,0,0,0,1,6,0
9,0,-22.316070847,-49.0758100453,0,0,1,0,0,0,0,0,1,11,4
12,1,-22.316902607421287,-48.99565445390047,0,0,0,0,0,0,0,1,0,1,6
7,0,-22.29853663148039,-49.10525943498804,0,0,0,0,0,0,0,0,0,12,0
18,0,-22.345081039577906,-49.078283252466115,0,0,0,0,0,0,0,0,0,2,1
6,0,-22.3258962,-49.07970414,0,0,0,0,0,0,0,0,1,6,5
7,0,-22.33886904,-49.04507796,0,0,0,0,0,0,0,0,1,7,3
17,0,-22.30606718580739,-49.10695140008122,0,0,0,0,0,0,0,1,0,8,4
21,0,-22.301340761990062,-49.03482213904185,0,0,2,0,0,0,0,0,0,11,4
20,1,-22.384262652278576,-49.025884914359864,0,1,0,0,0,0,1,0,0,3,6
9,0,-22.3354962177532,-49.074838057304184,0,0,0,0,0,0,0,0,0,1,1
23,0,-22.336951618666586,-49.06681817897558,0,0,1,0,0,0,0,0,0,5,4
16,0,-22.314987298606813,-49.00539295755291,0,1,0,1,0,0,0,0,0,5,3
7,1,-22.315752847224985,-49.1419557596268,0,1,1,0,0,1,0,0,0,10,4
7,1,-22.359218,-49.0422281,0,0,0,0,0,0,1,0,1,4,4
13,0,-22.308318122760404,-49.105423005509195,1,0,0,0,0,0,1,0,0,9,1
21,0,-22.29671111913384,-49.07528375470319,0,0,0,0,0,0,0,0,0,11,3
10,0,-22.29448924,-49.05510225,0,0,0,0,0,0,0,0,1,2,1
2,0,-22.320075810578928,-49.06847858745918,0,0,0,0,0,0,2,0,0,6,0
17,1,-22.36194979,-49.04052002,0,0,0,0,0,0,1,0,1,2,5
7,0,-22.34080819716752,-49.084833916929014,0,0,1,0,0,0,1,0,0,5,3
16,0,-22.327663297938237,-49.022488756020984,0,0,0,0,0,0,0,0,0,12,6
18,0,-22.31630289,-49.01396477,0,0,0,0,0,0,0,0,1,6,4
19,0,-22.3202622,-49.07728791,0,0,0,0,0,0,1,0,1,3,3
18,0,-22.316044152859007,-49.06269141603655,0,0,1,0,0,0,1,0,0,10,6
17,0,-22.32211411,-49.00884576,0,0,0,0,0,0,0,0,1,5,4
19,0,-22.37202,-49.06068,0,0,0,0,0,0,0,0,1,5,4
8,1,-22.29733418,-49.1098264,0,0,0,0,0,0,0,0,1,6,5
11,0,-22.330142745058122,-49.02217212446107,0,0,0,0,0,0,0,0,0,6,1
18,0,-22.32935785,-49.02260177,0,0,0,0,0,0,0,0,1,5,6
8,0,-22.32224399,-49.05064991,0,0,0,0,0,0,0,0,1,4,5
21,0,-22.32329705,-49.0783806,0,0,0,0,0,0,0,0,1,7,6
12,0,-22.327887354404762,-49.047593420603015,0,0,0,0,0,0,0,0,0,1,3
5,0,-22.30663727935686,-49.12346576552194,0,0,1,0,0,0,0,0,0,8,5
14,0,-22.323946889746043,-49.06726635260655,0,0,0,0,0,0,0,0,0,7,3
14,0,-22.310767531106094,-49.02094211130133,0,0,1,0,0,0,1,0,0,7,5
10,0,-22.345180871800356,-49.069423113550336,0,0,0,0,0,0,0,0,0,8,4
7,0,-22.32028671066044,-49.06834688470149,0,0,0,0,0,0,0,0,0,4,2
22,0,-22.3258962,-49.07970414,0,0,0,0,0,0,0,0,1,2,5
18,0,-22.32163805128093,-49.06703531775618,0,0,1,0,0,0,1,0,0,7,4
8,0,-22.331714892743054,-49.07791417164942,0,0,1,0,0,0,1,0,0,2,0
1,0,-22.33741859,-49.05269237,0,0,0,0,0,0,1,0,1,3,5
16,1,-22.332990919671136,-49.08686188656821,0,0,0,0,0,0,0,1,0,3,1
8,0,-22.344955167209513,-49.087776127767754,0,0,0,0,0,0,2,0,0,7,1
9,1,-22.31311036273519,-49.13303742268172,0,0,0,0,0,0,0,0,0,10,6
19,0,-22.316549041886145,-49.072785469277015,0,0,0,0,0,0,0,0,0,11,5
10,0,-22.33389656061092,-49.0774182948668,0,0,1,0,0,0,1,0,0,6,1
7,0,-22.330477188922906,-49.03468099062766,0,0,0,0,0,0,0,0,0,10,3
15,0,-22.3258962,-49.07970414,0,0,0,0,0,0,0,0,1,5,5
14,1,-22.35790289815512,-49.04215003257577,0,0,0,0,0,0,0,0,0,10,1
1,0,-22.330610021523466,-49.076125992196054,0,0,0,1,0,0,0,0,0,4,0
4,0,-22.336671408088876,-49.053085807452725,0,0,0,0,0,0,0,0,0,3,6
7,0,-22.314058751296663,-49.069347908957575,0,0,0,0,0,0,0,0,0,10,4
18,0,-22.332259596630358,-49.08574420390117,0,0,0,0,0,0,2,0,0,2,1
23,0,-22.31889445345398,-49.068481467581506,0,0,0,0,0,0,2,0,0,12,4
20,0,-22.32797647,-49.04155496,0,0,0,0,0,0,0,0,1,5,5
7,1,-22.31457677005405,-49.055106821448476,0,0,2,0,0,0,2,0,0,6,4
7,0,-22.343313248509677,-49.077126897591775,0,0,0,0,0,0,0,0,0,5,2
7,0,-22.30355682,-49.11742374,0,0,0,0,0,0,0,0,1,7,6
3,0,-22.33095117,-49.08835201,0,0,1,0,0,0,1,0,1,4,5
10,0,-22.3257990193436,-49.07969228222749,0,0,0,0,0,0,0,0,0,2,3
19,0,-22.33227347,-49.0863074,0,0,0,0,0,0,0,0,1,1,5
14,1,-22.334032230510505,-49.01589651199812,0,1,0,0,0,0,2,0,0,8,4
7,0,-22.350950725757997,-49.03454438084522,0,0,0,0,0,0,0,0,0,5,0
13,0,-22.313053476267847,-49.03128568089255,0,0,0,0,0,0,0,0,0,1,3
0,0,-22.374349353648487,-49.048941384760916,0,0,0,0,0,0,0,0,0,4,6
14,1,-22.29371611,-49.07283362,0,0,1,0,0,0,0,0,1,5,5
7,0,-22.33189880237355,-49.086155642074225,0,0,1,1,0,0,1,0,0,5,6
21,0,-22.34809956,-49.06315963,0,0,0,0,0,0,2,0,1,11,3
6,0,-22.33068103448019,-49.076220971485135,0,0,1,0,0,0,0,1,0,8,0
2,0,-22.37428439,-49.04888508,0,0,1,0,0,0,0,0,1,3,4
6,0,-22.33932574,-49.04723712,0,0,1,0,0,0,1,0,1,12,4
11,0,-22.32049506389591,-49.02200306437481,0,0,0,0,0,0,0,0,0,2,3
12,0,-22.320856797781857,-49.04254278113386,0,0,0,0,0,0,3,0,0,2,0
12,0,-22.321744849179325,-49.06922155829167,0,0,0,0,0,0,0,0,0,5,2
12,0,-22.328569427288375,-49.12173588420943,0,0,0,0,0,0,2,0,0,6,3
22,1,-22.306559364127914,-49.05929051552112,0,0,1,0,0,0,0,0,0,1,5
20,0,-22.333529222045673,-49.056715356557575,0,0,1,0,0,0,1,0,0,11,5
18,1,-22.328704395291624,-49.022482485458916,0,0,0,0,0,0,0,0,0,5,0
13,0,-22.326387486155078,-49.07428508440992,0,0,0,0,0,0,3,0,0,10,0
13,0,-22.351399122736748,-49.10434692043922,0,0,0,0,0,0,1,0,0,1,6
10,0,-22.32873289,-49.06062718,0,0,0,0,0,0,0,0,1,3,1
14,0,-22.271212299802446,-49.06592531894959,0,0,0,0,0,0,1,0,0,2,6
0,0,-22.289715284423213,-49.053651924011426,0,0,0,0,0,0,0,0,0,2,5
8,0,-22.343317784334296,-49.077059916375546,0,0,1,0,0,0,0,0,0,6,4
22,1,-22.3136481,-49.0554101,0,0,0,0,0,0,1,1,1,12,4
12,0,-22.307525487244586,-49.064163495336636,0,0,0,0,0,0,0,0,0,4,5
19,1,-22.350459624467064,-49.044822381843126,0,0,1,0,0,0,0,1,0,7,1
11,0,-22.31935709,-49.07635168,0,0,0,0,0,0,0,0,1,9,6
20,0,-22.31341342888565,-49.086517125149925,0,0,2,0,0,0,0,0,0,3,4
11,0,-22.3159323037057,-49.01872436025648,0,0,0,1,0,0,0,0,0,4,4
0,0,-22.316569003849818,-49.10441630766492,0,0,0,0,0,0,0,0,0,4,0
19,1,-22.293801714492233,-49.07274061738831,0,0,1,0,0,0,0,0,0,6,2
21,0,-22.3258962,-49.07970414,0,0,0,0,0,0,0,0,1,8,4
21,0,-22.271381026293756,-49.065985656011485,0,0,1,0,0,0,2,0,0,2,0
8,0,-22.307937033638968,-49.067154093219074,0,0,1,0,0,0,1,0,0,5,6
19,0,-22.274317070086347,-49.068198540819644,0,0,0,0,0,0,0,0,0,6,6
16,0,-22.333640128225625,-49.036513020339555,1,0,0,0,1,0,0,0,0,3,5
14,0,-22.343010935641214,-49.07589084255412,0,0,1,0,0,0,1,0,0,7,6
15,0,-22.302154896266227,-49.094636139077686,0,0,0,0,0,0,0,0,0,10,3
13,0,-22.34049402843013,-49.06379564446164,0,0,0,0,0,0,0,0,0,5,0
19,0,-22.32611399,-49.03524043,0,0,0,0,0,0,0,0,1,3,0
22,0,-22.332157722092123,-49.05488348024995,0,1,0,0,0,0,2,0,0,4,2
20,1,-22.3154214,-49.141493,1,0,1,0,0,0,0,0,1,7,6
15,0,-22.32291298843205,-49.054845054030274,0,0,0,0,0,0,1,0,0,4,4
18,1,-22.20779942433328,-49.042373204833254,0,0,0,0,0,0,0,0,0,3,4
21,0,-22.277657014732476,-49.065231745069326,0,0,0,0,0,0,0,0,0,7,5
18,0,-22.3244983379,-49.0704860357,0,0,0,0,0,0,0,0,1,12,3
19,0,-22.32739999271447,-49.088929986698325,0,0,0,0,0,0,0,0,0,6,2
11,0,-22.31806321182221,-49.03311786930147,0,0,0,0,0,0,1,0,0,7,3
2,0,-22.3383808,-49.0903993,0,0,0,0,0,0,0,0,1,10,6
23,1,-22.350409285269258,-49.044876015171155,0,0,0,0,1,0,1,0,0,4,5
18,1,-22.35034135,-49.04486816,0,0,0,0,0,0,2,0,1,5,2
15,0,-22.318994888533464,-49.07412425783168,0,0,1,0,0,0,1,0,0,12,4
10,0,-22.333957831069434,-49.111167746028116,0,0,0,0,0,0,0,0,0,7,3
15,0,-22.310932633634053,-49.0635453170986,0,0,1,0,0,0,1,0,0,11,5
5,0,-22.309810331806343,-49.0739077585791,0,0,0,0,0,0,0,0,0,1,0
19,0,-22.333231615132583,-49.07953458143551,0,0,0,0,0,0,0,0,0,1,6
18,0,-22.320059271280368,-49.11392476151738,0,0,1,0,0,0,1,0,0,4,5
19,1,-22.293940011014772,-49.071696569465516,0,0,0,0,0,0,2,0,0,4,5
6,0,-22.328976582052977,-49.053577001073606,0,0,1,0,0,0,0,0,0,4,2
20,0,-22.32586053239646,-49.07976272065632,0,0,0,0,0,0,0,0,0,1,1
21,0,-22.331562186050643,-49.096409082049746,0,0,1,1,0,0,1,0,0,2,1
19,0,-22.32008989,-49.06851771,0,0,0,0,0,0,0,0,1,5,6
9,0,-22.33062130672893,-49.076140597320645,0,0,1,0,0,0,1,0,0,9,6
12,0,-22.37426260092277,-49.048850280610495,0,0,1,0,0,0,1,0,0,8,3
14,0,-22.32722685,-49.06263318,0,0,0,0,0,0,0,0,1,5,3
12,0,-22.316788665545005,-48.99498382172449,0,0,1,0,0,0,0,1,0,1,6
7,0,-22.33483154351547,-49.034559173016255,0,0,0,0,0,0,2,0,0,9,3
10,0,-22.335673159101145,-49.05077088309422,0,0,1,0,0,0,1,0,0,10,3
3,0,-22.34651724,-49.05498811,0,0,0,0,0,0,0,0,1,5,4
12,0,-22.341960841511444,-49.113601018327735,0,0,0,0,0,0,0,0,0,10,6
23,0,-22.33689312,-49.06683839,0,0,1,0,0,0,0,0,1,5,4
17,1,-22.38916755,-49.0230428,0,0,0,0,0,0,5,0,1,5,1
23,1,-22.28780043,-49.08016493,0,0,0,0,1,0,1,0,1,1,1
2,0,-22.31919552,-49.03199356,0,0,0,1,0,0,0,0,1,10,4
5,0,-22.33131375698036,-49.02289665719297,0,0,0,0,0,0,0,0,0,8,6
22,0,-22.337088,-49.054268,0,0,1,0,0,0,1,1,1,3,1
19,0,-22.332028306827517,-49.08610061267226,0,0,0,0,0,0,0,0,0,12,3
12,0,-22.37428439,-49.04888508,0,0,0,0,0,0,0,0,1,10,1
6,1,-22.275368014434846,-49.06481144446454,0,0,0,0,0,0,0,0,0,7,1
14,0,-22.32124574723407,-49.07977911517194,0,0,0,0,0,0,0,0,0,6,0
16,0,-22.305335657291163,-49.0526657846246,0,0,1,0,0,0,1,0,0,3,5
19,0,-22.330651486837777,-49.076070725268586,0,0,1,1,0,0,1,0,0,5,1
17,0,-22.31905411,-49.03293829,0,0,0,0,0,0,1,0,1,5,3
7,0,-22.292306897368046,-49.0485959531291,0,0,0,0,0,0,0,0,0,3,5
12,0,-22.34104403650532,-49.06421618883681,0,0,0,0,0,0,2,0,0,9,4
19,0,-22.31941817789909,-49.032948472078246,0,0,0,0,0,0,0,0,0,11,5
15,0,-22.320017850037065,-49.06860931172251,0,0,0,0,0,0,2,0,0,4,2
20,0,-22.31228535,-49.07183436,0,0,0,0,1,0,1,0,1,10,0
21,0,-22.32022859,-49.06841191,0,0,1,0,0,0,0,0,1,5,2
18,0,-22.323496,-49.161476,0,1,0,1,0,0,0,0,1,12,3
11,0,-22.301993813244202,-49.065210058881846,0,0,0,0,0,0,0,1,0,12,1
11,0,-22.33404623638097,-49.07420129574544,0,0,0,0,0,0,0,0,0,2,3
20,0,-22.374267422427867,-49.048938758091595,0,0,0,0,0,0,0,1,0,2,1
14,0,-22.35396595711041,-49.06722722812973,0,0,0,0,0,0,0,1,0,1,0
22,0,-22.325600543002714,-49.054425427371086,0,0,2,0,0,0,0,0,0,1,5
18,0,-22.356427310635475,-49.090830097317905,0,0,0,0,0,0,0,0,0,2,4
10,1,-22.33192417746777,-49.04998499345415,0,0,1,0,0,0,0,0,0,7,3
22,1,-22.350381870873164,-49.04483923271255,1,0,0,0,0,0,0,0,0,12,4
10,0,-22.332593637889513,-49.06820549644944,0,0,0,0,0,1,1,0,0,7,6
20,0,-22.321843396980864,-49.080708030334975,0,0,0,0,0,0,0,0,0,8,5
12,0,-22.35365915,-49.05053254,0,0,0,0,0,0,2,0,1,11,1
21,0,-22.32996765155582,-49.10298998849102,0,0,0,0,0,0,0,0,0,3,6
6,0,-22.29434596,-49.10501719,0,0,0,0,0,0,0,0,1,6,1
5,0,-22.29461414,-49.04622213,0,0,0,0,0,0,0,0,1,10,6
6,1,-22.23328437948744,-49.151297892398695,0,0,1,0,0,0,1,0,0,1,0
18,0,-22.325423392209913,-49.092337136171956,0,0,2,0,0,0,0,0,0,9,2
8,0,-22.31989138277394,-49.03618795094667,0,0,1,0,0,0,0,0,0,12,4
6,0,-22.31329858,-49.03411539,0,1,1,0,0,0,0,0,1,8,1
19,0,-22.299044771790975,-49.06083215204303,0,0,0,1,0,0,0,0,0,6,2
14,0,-22.336224386083522,-49.068275996549005,0,0,1,0,0,0,1,0,0,12,0
19,0,-22.31820822534805,-48.98109888069535,0,0,0,1,0,0,0,0,0,8,4
16,0,-22.29584735,-49.04171068,0,0,1,1,0,0,1,0,1,6,5
8,0,-22.328594145460468,-49.094218565170195,0,0,1,0,0,0,2,0,0,5,2
12,0,-22.32612507,-49.05741808,0,0,0,0,0,0,0,0,1,10,2
12,1,-22.30055211188487,-49.06289404857987,0,0,1,0,0,0,0,0,0,3,2
11,0,-22.3159323037057,-49.01872436025648,0,0,0,1,0,0,0,0,0,4,4
15,0,-22.32290064006918,-49.07812778341753,0,0,0,0,0,0,2,0,0,5,5
22,0,-22.340997332751048,-49.073747018275675,0,0,0,0,0,0,0,0,0,2,6
17,0,-22.327257655435687,-49.085369304556565,0,0,0,0,0,0,0,0,0,9,2
18,0,-22.34047067,-49.06062873,0,0,1,0,0,0,1,0,1,5,4
10,0,-22.328956700249623,-49.08429662047471,0,0,0,0,0,0,0,0,0,4,4
16,0,-22.336283337009828,-49.059851167257996,0,0,1,0,0,0,1,0,0,9,1
9,1,-22.28181396,-49.08674314,0,0,1,0,0,0,0,0,1,4,5
18,0,-22.3542882,-49.0985562,0,0,1,0,0,0,1,0,1,11,4
15,0,-22.323342627899716,-49.058077553507275,0,0,0,0,0,0,0,0,0,8,1
19,0,-22.368591485468134,-49.02607807034833,0,0,0,0,0,0,0,0,0,5,1
